event_id,supply_security_impact,procurement_cost_impact,investment_opportunity_impact,geopolitical_risk_impact,catl_exposure,impact_level,impact_summary
913db4840efd,高,高,低,中,Australia / Finniss / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
0c2d1575df21,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
391df1c08f4d,高,中,低,高,Chile / lithium,高,Chile事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
8de4646bb52f,中,中,中,中,Australia / lithium,高,Australia政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
4d972e1d7d1a,中,中,中,中,China / lithium,高,China政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
e9e9baada130,中,低,高,中,Australia / James Bay / lithium,高,Australia项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
969ee247d536,中,低,高,中,Australia / James Bay / lithium,高,Australia项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
bd5df769dc31,中,中,中,中,Canada / lithium,高,Canada政策变量正在改变项目经济性，建议复核税费、合规成本和投资回报假设。
d698e0776396,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
cf2a4c22dc41,低,低,低,低,Canada / Thacker Pass / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
a483ca30c702,高,高,低,低,Brazil / lithium,高,Brazil事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
c5c0bf72279d,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
a77166b3a2a2,低,低,低,低,Zimbabwe / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
c4c9b0eb4f3f,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
ba783854d4e8,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
c53ddea60124,高,中,低,高,Brazil / lithium,高,Brazil事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
ebc323d6edd2,低,低,低,低,China / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
af1ce5a81bd3,低,低,低,低,Chile / Rincon / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
2d33127e6b54,低,低,低,低,Brazil / lithium carbonate,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
0c7a70688044,低,低,低,低,Argentina / brine,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
adec9aa9c451,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
4d4788773ce4,低,低,低,中,Australia / Finniss / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
7843faf80f59,高,高,低,低,China / lithium,高,China事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
6ada615d701e,高,高,低,低,China / lithium,高,China事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
062db3c2e745,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
61d8e6f1a4c6,高,高,低,低,Finniss / spodumene,高,相关区域事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
19ad0a5a4d3e,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
7d1c10f0922a,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
7e395d9f5a60,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
fa062f1293f7,高,高,低,中,Australia / lithium,高,Australia事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
c5f0ad514dae,中,低,高,低,Argentina / lithium,高,Argentina项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
71ad0f899545,低,低,低,中,Australia / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为中，建议纳入周度跟踪。
ac98b0e04170,中,低,高,中,Australia / Cinovec,高,Australia项目审批进展会影响未来供给兑现，建议更新项目投产概率和资源池排序。
777a9fabac81,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
1aac67093fcb,低,低,低,低,Argentina / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
a67e0088cea1,中,高,中,中,China / lithium hydroxide,高,该事件对供给安全为中、采购成本为高、投资机会为中、地缘风险为中，建议纳入周度跟踪。
077946350eb0,中,高,中,中,Australia / spodumene,高,该事件对供给安全为中、采购成本为高、投资机会为中、地缘风险为中，建议纳入周度跟踪。
f62b2dfe0759,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
4a8ee09e7a78,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
7875521f6296,高,中,低,高,Zimbabwe / lithium,高,Zimbabwe事件可能影响资源可得性，建议立即评估替代资源、采购安全库存和项目推进节奏。
36fd70585502,中,高,中,中,Australia / spodumene,高,该事件对供给安全为中、采购成本为高、投资机会为中、地缘风险为中，建议纳入周度跟踪。
98d55c1a65e2,低,低,低,低,Canada / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
ad94f08a5bac,低,低,低,低,Brazil / lithium,高,该事件对供给安全为低、采购成本为低、投资机会为低、地缘风险为低，建议纳入周度跟踪。
