event_id,policy_id,country,policy_name,timeline_year,timeline_lane,policy_type,policy_subtype,risk_level,risk_score,impact_score,relevance_score,timeline_weight,is_stock_constraint,is_future_constraint,catl_risk_dimension,risk_direction,summary_label,hover_text,source_url,url,policy_risk_score_norm
timeline_iea_28974_zimbabwe_lithium_ore_export_control_2022_policy_zimbabwe_export_control_on_lithium_ore_in_zimbabwe_2022,iea_28974_zimbabwe_lithium_ore_export_control_2022_policy_zimbabwe_export_control_on_lithium_ore_in_zimbabwe_2022,Zimbabwe,Export control on Lithium ore in Zimbabwe,2025,出口限制与本地加工,export_control,export_control_general,极高,1.0,0.9,0.9,0.955,True,False,resource_security,restrictive,Zimbabwe｜export_control｜极高,国家：Zimbabwe<br>政策名称：Export control on Lithium ore in Zimbabwe<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：1.00<br>影响维度：resource_security<br>来源：https://www.iea.org/policies/28974-export-control-on-lithium-ore-in-zimbabwe,https://www.iea.org/policies/28974-export-control-on-lithium-ore-in-zimbabwe,https://www.iea.org/policies/28974-export-control-on-lithium-ore-in-zimbabwe,1.0
timeline_iea_25039_zimbabwe_base_minerals_export_control_policy_zimbabwe_base_minerals_export_control_2024,iea_25039_zimbabwe_base_minerals_export_control_policy_zimbabwe_base_minerals_export_control_2024,Zimbabwe,Base Minerals Export Control,2025,出口限制与本地加工,export_control,export_control_general,极高,1.0,0.9,0.9,0.955,True,False,resource_security,restrictive,Zimbabwe｜export_control｜极高,国家：Zimbabwe<br>政策名称：Base Minerals Export Control<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：1.00<br>影响维度：resource_security<br>来源：https://www.iea.org/policies/25039-base-minerals-export-control,https://www.iea.org/policies/25039-base-minerals-export-control,https://www.iea.org/policies/25039-base-minerals-export-control,1.0
timeline_policy_united_states_drc_us_strategic_partnership_agreement_2025,policy_united_states_drc_us_strategic_partnership_agreement_2025,United States,DRC-US Strategic Partnership Agreement,2025,出口限制与本地加工,local_processing,export_ban_concentrate,极高,1.0,0.9,0.7,0.905,False,False,investment_access;project_schedule,restrictive,United States｜local_processing｜极高,国家：United States<br>政策名称：DRC-US Strategic Partnership Agreement<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：1.00<br>影响维度：investment_access;project_schedule<br>来源：https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,1.0
timeline_policy_canada_ontario_recovery_of_minerals_regulation_2025,policy_canada_ontario_recovery_of_minerals_regulation_2025,Canada,(Ontario) Recovery of Minerals regulation,2025,环保保护与水资源约束,environment_policy,project_license,极高,0.86,0.9,0.9,0.882,False,False,project_schedule;policy_compliance,restrictive,Canada｜environment_policy｜极高,国家：Canada<br>政策名称：(Ontario) Recovery of Minerals regulation<br>政策类型：environment_policy<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.86<br>影响维度：project_schedule;policy_compliance<br>来源：https://news.ontario.ca/en/release/1005407/ontario-supporting-recovery-of-residual-metals-and-minerals,https://news.ontario.ca/en/release/1005407/ontario-supporting-recovery-of-residual-metals-and-minerals,https://news.ontario.ca/en/release/1005407/ontario-supporting-recovery-of-residual-metals-and-minerals,0.86
timeline_policy_democratic_republic_of_the_congo_drc_us_strategic_partnership_agreement_2025,policy_democratic_republic_of_the_congo_drc_us_strategic_partnership_agreement_2025,Democratic Republic of the Congo,DRC-US Strategic Partnership Agreement,2025,出口限制与本地加工,local_processing,export_ban_concentrate,极高,0.98,0.9,0.7,0.856,False,False,investment_access;project_schedule,restrictive,Democratic Republic of the Congo｜local_processing｜极高,国家：Democratic Republic of the Congo<br>政策名称：DRC-US Strategic Partnership Agreement<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.98<br>影响维度：investment_access;project_schedule<br>来源：https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,0.98
timeline_iea_17958_chile_national_lithium_strategy_policy_chile_national_lithium_strategy_2023,iea_17958_chile_national_lithium_strategy_policy_chile_national_lithium_strategy_2023,Chile,National Lithium Strategy,2025,国家控股与国家参与,state_control,lithium_strategy,极高,0.88,0.7,0.9,0.846,True,False,investment_access;valuation_impact,restrictive,Chile｜state_control｜极高,国家：Chile<br>政策名称：National Lithium Strategy<br>政策类型：state_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.88<br>影响维度：investment_access;valuation_impact<br>来源：https://www.iea.org/policies/17958-national-lithium-strategy,https://www.iea.org/policies/17958-national-lithium-strategy,https://www.iea.org/policies/17958-national-lithium-strategy,0.88
timeline_policy_people_s_republic_of_china_decision_to_implement_export_controls_on_tungsten_tellurium_bismuth_molybdenum_and_ind,policy_people_s_republic_of_china_decision_to_implement_export_controls_on_tungsten_tellurium_bismuth_molybdenum_and_ind,People's Republic of China,"Decision to implement export controls on tungsten, tellurium, bismuth, molybdenum and indium related items",2025,出口限制与本地加工,export_control,unknown,极高,0.98,0.9,0.65,0.841,False,False,resource_security,restrictive,People's Republic of China｜export_control｜极高,"国家：People's Republic of China<br>政策名称：Decision to implement export controls on tungsten, tellurium, bismuth, molybdenum and indium related items<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.98<br>影响维度：resource_security<br>来源：https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e623090907fc4e1092f0a4db72f57b95.html",https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e623090907fc4e1092f0a4db72f57b95.html,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e623090907fc4e1092f0a4db72f57b95.html,0.98
timeline_policy_people_s_republic_of_china_export_controls_on_certain_medium_and_heavy_rare_earth_items_2025,policy_people_s_republic_of_china_export_controls_on_certain_medium_and_heavy_rare_earth_items_2025,People's Republic of China,Export controls on certain medium and heavy rare earth items,2025,出口限制与本地加工,export_control,unknown,极高,0.98,0.9,0.65,0.841,False,False,resource_security,restrictive,People's Republic of China｜export_control｜极高,国家：People's Republic of China<br>政策名称：Export controls on certain medium and heavy rare earth items<br>政策类型：export_control<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.98<br>影响维度：resource_security<br>来源：https://aqygzj.mofcom.gov.cn/flzc/gzjgfxwj/art/2025/art_f3a1432ba20248eca12ff7b91bc73fda.html,https://aqygzj.mofcom.gov.cn/flzc/gzjgfxwj/art/2025/art_f3a1432ba20248eca12ff7b91bc73fda.html,https://aqygzj.mofcom.gov.cn/flzc/gzjgfxwj/art/2025/art_f3a1432ba20248eca12ff7b91bc73fda.html,0.98
timeline_policy_european_union_strategic_projects_of_the_crma_2025,policy_european_union_strategic_projects_of_the_crma_2025,European Union,Strategic Projects of the CRMA,2025,环保保护与水资源约束,environment_policy,project_license,高,0.81,0.9,0.9,0.825,False,False,project_schedule;policy_compliance,restrictive,European Union｜environment_policy｜高,国家：European Union<br>政策名称：Strategic Projects of the CRMA<br>政策类型：environment_policy<br>生效年份：2025<br>风险等级：高<br>风险分数：0.81<br>影响维度：project_schedule;policy_compliance<br>来源：https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials/strategic-projects-under-crma/selected-projects_en,https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials/strategic-projects-under-crma/selected-projects_en,https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials/strategic-projects-under-crma/selected-projects_en,0.81
timeline_policy_india_national_critical_mineral_mission_2025,policy_india_national_critical_mineral_mission_2025,India,National Critical Mineral Mission,2025,出口限制与本地加工,local_processing,local_beneficiation,极高,0.88,0.7,0.9,0.811,False,False,investment_access;project_schedule,restrictive,India｜local_processing｜极高,国家：India<br>政策名称：National Critical Mineral Mission<br>政策类型：local_processing<br>生效年份：2025<br>风险等级：极高<br>风险分数：0.88<br>影响维度：investment_access;project_schedule<br>来源：https://mines.gov.in/admin/download/679a0e7c614611738149500.pdf,https://mines.gov.in/admin/download/679a0e7c614611738149500.pdf,https://mines.gov.in/admin/download/679a0e7c614611738149500.pdf,0.88
