year,scenario,price_center_original_wan,policy_adjusted_price_center_wan,policy_price_uplift_wan,policy_price_uplift_pct,policy_supply_realization_rate,policy_supply_constraint_factor,adjustment_reason
2026,STEPS,12.0,12.5,0.5,0.041666666666666664,0.98,0.020000000000000018,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2027,STEPS,12.0,13.0,1.0,0.08333333333333333,0.98,0.020000000000000018,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2028,STEPS,12.0,13.5,1.5,0.125,0.97,0.030000000000000027,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2029,STEPS,12.0,14.0,2.0,0.16666666666666666,0.97,0.030000000000000027,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2030,STEPS,12.0,14.5,2.5,0.20833333333333334,0.96,0.040000000000000036,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2031,STEPS,12.0,15.0,3.0,0.25,0.96,0.040000000000000036,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2032,STEPS,12.0,15.0,3.0,0.25,0.96,0.040000000000000036,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2033,STEPS,12.0,15.5,3.5,0.2916666666666667,0.95,0.050000000000000044,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2034,STEPS,12.0,15.5,3.5,0.2916666666666667,0.95,0.050000000000000044,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2035,STEPS,13.0,16.0,3.0,0.23076923076923078,0.95,0.050000000000000044,纳入IEA政策约束后，即使在保守需求情景下，出口限制、本地加工要求、审批和环保约束仍会降低部分名义供给兑现率，因此价格中枢小幅上修。
2026,APS,18.0,18.5,0.5,0.027777777777777776,0.97,0.030000000000000027,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2027,APS,19.0,20.0,1.0,0.05263157894736842,0.97,0.030000000000000027,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2028,APS,20.0,21.5,1.5,0.075,0.96,0.040000000000000036,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2029,APS,21.0,23.0,2.0,0.09523809523809523,0.95,0.050000000000000044,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2030,APS,21.0,24.0,3.0,0.14285714285714285,0.94,0.06000000000000005,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2031,APS,21.0,24.5,3.5,0.16666666666666666,0.94,0.06000000000000005,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2032,APS,22.0,25.0,3.0,0.13636363636363635,0.93,0.06999999999999995,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2033,APS,22.0,25.5,3.5,0.1590909090909091,0.93,0.06999999999999995,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2034,APS,23.0,26.0,3.0,0.13043478260869565,0.92,0.07999999999999996,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2035,APS,23.0,26.5,3.5,0.15217391304347827,0.92,0.07999999999999996,APS为核心基准情景。纳入IEA政策约束后，资源国出口限制、本地加工、国家参与和审批环保约束会推迟新增供给释放，因此2028年后价格中枢明显上修。
2026,NZE,25.0,26.0,1.0,0.04,0.96,0.040000000000000036,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2027,NZE,27.0,28.5,1.5,0.05555555555555555,0.95,0.050000000000000044,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2028,NZE,28.0,30.5,2.5,0.08928571428571429,0.94,0.06000000000000005,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2029,NZE,30.0,33.0,3.0,0.1,0.93,0.06999999999999995,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2030,NZE,31.0,34.5,3.5,0.11290322580645161,0.92,0.07999999999999996,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2031,NZE,32.0,35.5,3.5,0.109375,0.92,0.07999999999999996,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2032,NZE,32.0,36.5,4.5,0.140625,0.91,0.08999999999999997,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2033,NZE,33.0,37.5,4.5,0.13636363636363635,0.91,0.08999999999999997,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2034,NZE,33.0,38.0,5.0,0.15151515151515152,0.9,0.09999999999999998,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
2035,NZE,34.0,39.0,5.0,0.14705882352941177,0.9,0.09999999999999998,NZE为高需求低容错情景。政策约束对供给释放的影响被放大，供需缺口扩大，长期价格中枢显著上修。
