title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Local Government fleet renewal mandate,<div>All new buses and coaches that shall be acquired for public transport services from 2025 onwards must be low-emission vehicles.</div>,In force,2025,National,International Energy Agency,,,http://www.ieahev.org/assets/1/7/2016_IA-HEV_BOOK_web_(1).pdf,English,1602858501000,"[{""iso3"":""FRA"",""name"":""France""}]",[],"[""Transport technologies"",""Battery electric"",""Plug-in hybrid"",""Vehicle type"",""Drive train or engine"",""Buses and coaches"",""Road vehicles""]",[],[]
Plug-in vehicle grants,"<div>In February 2025, the plug-in van grant was extended into the 2025/26 financial year with Â£120m in government funding to support the switch to cleaner vans, wheelchair accessible vehicles and taxis. The maximum grant for small vans is Â£2,500 and for large vans Â£5,000.Â <br>Â <br>Â The Government also announced that grants for plug-in motorcycles and taxis will be extended into the 2025/26 financial year. The Plug-in Motorcycle Grant will continue at the same grant rate (up to Â£500). The Plug-in Taxi Grant (PITG) will run at a rate of Â£4,000 per eligible vehicle.<br><br>In March 2025, the Plug-In Truck Grants was extended to the end of the 2025/26 financial year with Â£6.5 million in funding. The maximum grant is Â£16,000 for small trucks and Â£25,000 for large trucks.</div>",In force,2025,National,International Energy Agency,2025-02-25,2026,https://www.gov.uk/government/news/120-million-to-roll-out-more-electric-vans-taxis-and-motorbikes,,1750778149822,"[{""iso3"":""GBR"",""name"":""United Kingdom""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Economic"",""name"":""Low-emissions and efficient transport spending programmes"",""category"":""Light-duty vehicles""},{""topic"":""Transport"",""family"":""Economic"",""name"":""Low-emissions and efficient transport spending programmes"",""category"":""2-/3-wheelers""},{""topic"":""Transport"",""family"":""Economic"",""name"":""Low-emissions and efficient transport spending programmes"",""category"":""Medium/Heavy-duty vehicles""}]"
Resolution 286 on pricing of greenhouse gas emissions,"<div>The government of Israel announced the plan to introduce a carbon tax at slowly increasing level from 2023 to 2028 through a statement approved by the Tax Authority and the Finance, Energy, Environmental Protection and Economy ministries.Â </div><div>Â </div><div>The nationâs first carbon tax will be applied to coal, liquified petroleum gas, fuel oil, petcoke and gas and is expected to cover about 80% of greenhouse gas emissions by 2028. However, the tax would not be introduced if the electricity price would rise by more than 5% through 2028. Additionally, diesel and gasoline will not be taxed any further as part of the scheme, due to existing levies.Â </div><div>Â </div><div>At a later stage, the tax will cover the emissions from other sources of global warming gases, such as garbage dumps, responsible for 8% of Israelâs GHG emissions, and cooling gases used in air conditioning systems, refrigerators, and refrigerated vehicles, which account for 7% of GHG emissions.</div>",In force,2025,National,International Energy Agency,2021-08-01,2028,https://www.gov.il/he/departments/policies/dec286_2021,English,1776427085102,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],[],[],"[{""topic"":""Power"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
Climate Law 2023,"<div>Following up on the 2022 first draft of Israelâs historic Climate Law, the Ministry of Environmental Protection presented in February 2023 a new text to reach carbon neutrality by 2050. The new bill anchors reduction targets for 2030 and states that the annual amount of greenhouse gas emissions in 2030 will be reduced by 50% compared to 2015 (reference year).Â  Â </div>",Announced,2030,National,International Energy Agency,,2050,https://www.gov.il/he/Departments/news/minister_silman_climate_law_to_ministries_comments,,1684499245305,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],[],"[""Government Energy Spending""]",[]
The Foreign Investment Review Framework,"<div>Foreign investments into Australia are subject to review according to the framework set by the Foreign Acquisitions and Takeovers Act 1975 and the Foreign Acquisitions and Takeovers Fees Impositions Act 2015. This framework mandates thatÂ  foreign investors notify the Treasurer of proposed foreign investments if they meet certain criteria, such as if the investor is a foreign government, if the type of investment is likely to raise national security concerns, and if the size of the investment surpasses a given threshold. The Treasurer can prohibit investments, or apply conditions to their implementation, to ensure they will not jeopardise the national interest. The Treasurer is advised by the Foreign Investment Review Board (FIRB), an independent, non-statutory advisory body, but is not bound to follow the FIRB's recommendations.Â <br><br>On 1 May 2024, the Australian government announced updates to this framework to enhance the screening of foreign investments in sensitive industries, such as critical infrastructure, information technology and critical minerals.Â </div>",In force,2026,National,International Energy Agency,2026-05-12,,https://foreigninvestment.gov.au/investing-in-australia/foreign-investment-framework,English,1780498681849,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],[],"[{""topic"":""Economy-wide"",""family"":""Trade"",""name"":""Foreign direct investment (FDI)"",""category"":null}]"
GX: Green Transformation Policy: Carbon Levy,"<div>Through its GX (Green Transformation) Basic Policy, Japan aims to introduce a carbon levy on fossil fuel imports on power, gas and oil companies.Â <br>The introduction of this levy will start in 2028, along with a mandatory national ETS.</div>",In force,2028,National,International Energy Agency,2023-07-01,,https://www.meti.go.jp/press/2022/02/20230210002/20230210002_1.pdf,,1713867216759,"[{""iso3"":""JPN"",""name"":""Japan""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Economic"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
[UNDER DISCUSSION] 2025 local content requirements for electricity infrastructure projects,"<div>Indonesia has introduced a minimum local content requirement (i.e. Tingkat Komponen Dalam Negeri - ""TKDN"") of 60% for solar modules starting from January 1, 2025. This is currently in review as the Ministry of Energy and Mineral Resources (ESDM) has proposed a reduction in TKDN requirements for solar module PLTS to 40% to provide flexibility for investors in building such facilities in Indonesia, the proposal has not yet been approved by the government.</div>",Announced,2025,National,International Energy Agency,,,https://www.makarim.com/news/switching-off-local-content-requirements-for-electricity-infrastructure,,1717971374519,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade"",""name"":""Local content requirements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade"",""name"":""Local content requirements"",""category"":null}]"
Greenhouse Gas Emissions Standards for Heavy-Duty Engines and Vehicles-Phase 3,"<div>The US Environmental Protection Agency (EPA) finalised in 2024 greenhouse gas standards for heavy-duty vehicles for model years 2027 through 2032.Â <br>Vehicle and engine performance standards cover semi-trucks, large pickup trucks, vans, and all types and sizes of buses and work trucks, and see a reduction from phase 2 of 40% and 30% for medium-duty vehicles and heavy-duty vehicles respectively by 2032.</div>",Ended,2027,National,International Energy Agency,2024-03-29,,https://www.epa.gov/regulations-emissions-vehicles-and-engines/final-rule-greenhouse-gas-emissions-standards-heavy-duty,,1771864293636,"[{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Transport"",""family"":""Performance-based"",""name"":""Fuel efficiency standards"",""category"":""Medium/Heavy-duty vehicles""}]"
Future Made in Australia Act 2025,"<div>Assented to on February 14, 2025, the Future Made in Australia (Production Tax Credit and Other Measures) Act 2025 introduced tax incentives for renewable hydrogen and critical minerals production, aiming to position Australia as a key player in the global net zero transformation. The legislation recognises that renewable hydrogen and critical minerals are essential components of the clean energy transition, particularly in the manufacturing of wind turbines, solar panels, and electric vehicles.</div><div><br>The Act established two primary tax incentives spanning from 2027-28 to 2039-40. The first provides AUD 2 per kilogram for renewable hydrogen production, whilst the second offers a 10 per cent tax incentive on processing and refining costs for 31 designated critical minerals. Both incentives are available for up to 10 years per project. The programme includes mandatory compliance with six Community Benefit Principles, which will be detailed in rules set by the Treasurer following further consultation. Importantly, the incentives are structured as production-based benefits, meaning they only activate once projects are operational and actively producing.</div><div><br>This initiative aims to unlock private sector investment in Australiaâs renewable energy and critical minerals sectors, creating secure employment opportunities nationwide. By linking the incentives to actual production and community benefits, the programme seeks to ensure that the economic advantages flow through to local workers, industries, and communities.</div>",In force,2025,National,International Energy Agency,,,https://www.legislation.gov.au/C2025A00009/asmade/text,,1746479346974,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Tax incentives"",""category"":""Capital control/commercial operation/investment rules""},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Tax incentives"",""category"":""Minerals recycling""}]"
BNDES and Finep USD 815 million fund for strategic minerals projects,"<div>The Brazilian Development Bank (BNDES) and Finep (Brazilian Innovation Agency) have launched a R$5 billion (Brazilian Reais) public call to support business plans focused on strategic minerals transformation and sustainable materials development in Brazil. Recent operations of large mines have validated the potential of Brazilian reserves for high-volume production of lithium and rare earth elements, leading to increased investments and new world-class project discoveries.Â <br><br>The initiative provides funding through credit lines, equity participation, and non-reimbursable resources to invest in productive capacity, research, development, and innovation (RD&amp;I). The programme targets the transformation of minerals crucial for energy transition and decarbonisation, focusing on developing supply chains for lithium, rare earth elements, nickel, graphite and silicon. The support encompasses industrial-scale plants, pilot facilities, demonstration projects, and necessary research studies, depending on project stages and technologies involved. The funding structure is expected to leverage investments five to ten times the available budget in the coming years.Â <br><br>The programme aims to position Brazil as a leading supplier of critical materials for energy transition and decarbonisation supply chains. It will support the development of high-value components such as battery cells, photovoltaic cells, and permanent magnets. The initiative is designed to mobilise various stakeholders across mineral-dependent production chains, enabling partnerships between miners and technology holders both within and outside Brazil.Â </div>",In force,2025,National,International Energy Agency,2025-01-07,,https://www.bndes.gov.br/wps/portal/site/home/desenvolvimento-sustentavel/parcerias/!ut/p/z1/fY5NT8MwDIbv_RW57Bi5-xDjOpAoAiQ0xKHNZfIys3k0cZekFT-fMBUQHHbx-0p-HstgCqWKAuocuYzjO8F4HHiPicVjCzU05mqzXFe396vF9Km6my_K9ctrdfP4PJtez5bwcBZ__a8Ll416NEb8J6Dh4-lkVmCs-EQfCeqt31HcsI-JU2_PH03KgzialHlBfpB2YEc-iY59TLngQBnpMFgKjFHlhkrUP1r9oe0BHe5Qd_22ZYs6BfTxTYJDi6IdewrIUVPMi0R7thKhezfNJ3M_F6k!/,,1745410786871,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Public investment"",""category"":null},{""topic"":""Critical Minerals"",""family"":""Economic"",""name"":""Financing"",""category"":null}]"
