rank,project,project_name,company,country,resource_type,status,annual_capacity,effective_capacity,base_aisc_wan,adjusted_aisc_wan,strategic_aisc_wan,strategy_base_aisc_wan,policy_risk_premium_wan,policy_risk_premium_pct,adjusted_minus_base_wan,strategic_minus_adjusted_wan,current_lce_price_wan,price_margin_wan,price_margin_pct,strategic_aisc_percentile,policy_premium_flag,capacity_score,cost_score,margin_score,policy_risk_score_norm,strategic_investment_score,score_percentile,investment_tier,recommended_action_v2,strategy_detail_v2,key_risk_note,name
1,Salar de Atacama,Salar de Atacama,SQM / Albemarle,Chile,brine,Operating,300000.0,300000.0,4.464,4.464,5.1604,4.464,0.6964,0.156,0.0,0.6964,18.2,13.0396,2.5269,0.197,True,100.0,80.303,100.0,0.88,79.91,0.9706,Tier 1｜优先锁定,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目产能贡献较高，对资源配置具有战略意义…,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Salar de Atacama
2,Atacama,Atacama,SQM,Chile,brine,Operating,205000.0,205000.0,4.464,4.464,5.1604,4.464,0.6964,0.156,0.0,0.6964,18.2,13.0396,2.5269,0.197,True,68.3333,80.303,100.0,0.88,73.57,0.9412,Tier 1｜优先锁定,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Atacama
3,Greenbushes,Greenbushes,Talison Lithium,Australia,spodumene,Operating,150000.0,150000.0,5.904,5.904,6.4472,5.904,0.5432,0.092,0.0,0.5432,18.2,11.7528,1.8229,0.3333,True,50.0,66.6667,100.0,0.75,67.08,0.9118,Tier 1｜优先锁定,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Greenbushes
4,Hombre Muerto,Hombre Muerto,Various,Argentina,brine,Operating,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.7647,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Hombre Muerto
5,Olaroz,Olaroz,Arcadium Lithium,Argentina,brine,Operating,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.7941,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Olaroz
6,Sal de Vida,Sal de Vida,Arcadium Lithium,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8235,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Sal de Vida
7,Pastos Grandes,Pastos Grandes,Various,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8529,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Pastos Grandes
8,Kachi,Kachi,Lake Resources,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8824,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Kachi
9,Goulamina,Goulamina,Leo Lithium / Ganfeng,Mali,spodumene,Developing,30000.0,30000.0,5.688,5.688,5.688,5.688,0.0,0.0,0.0,0.0,18.2,12.512,2.1997,0.2727,False,10.0,72.7273,100.0,0.4,66.45,0.7353,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 项目处于样本库低成本区间。,暂无显著额外风险，继续跟踪项目进展。,Goulamina
10,Cauchari-Olaroz,Cauchari-Olaroz,Lithium Argentina / Ganfeng,Argentina,brine,Operating,85000.0,85000.0,5.688,5.688,6.2568,5.688,0.5688,0.1,0.0,0.5688,18.2,11.9432,1.9088,0.303,True,28.3333,69.697,100.0,0.65,65.31,0.7059,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Cauchari-Olaroz
